transaction_id,risk_score,amount,behavior_score,geo_score,comm_score,economic_score,drift_score,judge_score,reasons
b54bb23c-6703-4d7b-8149-411205534ef9,0.1616,2816.15,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
45f793a8-8223-4e65-9b6b-fa1b0a62d4aa,0.1456,926.07,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
fff9978c-8395-490a-95a1-8347bc751a2b,0.1616,1079.04,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
c7491b59-9186-42c8-a930-1411b13dfe13,0.1456,336.09,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
44fdd50c-73f4-4f0d-8b03-0409ebd8890b,0.1616,2883.07,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
7dc83725-605a-4fab-9e5a-017200a34b9a,0.1456,982.6,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
32e73719-7b07-4c61-9fac-6c715c92ab1f,0.2746,99.8,0.35,0.25,0.72,0.0,0.0,,behavior:new recipient | behavior:new payment method | behavior:new transaction type | geo:location mismatch vs recent geo | comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly
1ede528a-c212-4d30-8e62-e901ca537f83,0.1616,2757.67,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
875367bb-b33a-40d4-bfed-7e9e0c5f6a46,0.1616,1052.75,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
95679cc6-814c-4fbe-86a3-b697b54f5d10,0.1456,399.65,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
a3ebbbea-d56c-4627-bf6e-3f9ead9a4125,0.1616,1026.68,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
2f585191-4e73-4850-805c-b02167082198,0.1456,965.13,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
1ac1500c-78d7-4f3a-8daa-ecdb877b2bad,0.1616,2819.25,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
4af1fdf6-8b4e-4d2b-ab32-97e2cd197792,0.1616,2717.11,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
a8df2827-5aa0-4831-8f92-b2093d62739d,0.1456,370.14,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
0ed77000-3456-4052-8c6e-0a66f94561ca,0.1456,978.9,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
ea8d19b0-8364-4f2e-93ef-43e511d9ca7b,0.1616,2836.2,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
a9833409-4bb9-4764-b1c1-89521a636e36,0.1456,952.23,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
0f400ab9-1f74-41ac-ba58-73d2aac629d4,0.1616,1070.92,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
1ad62197-c368-4a1f-8286-22a811f5291e,0.1616,2768.43,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
f187ddae-1a5d-4ff2-ad5a-565eae237d71,0.1616,1019.29,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
5a3577a7-61e9-42b2-b8f1-a87d7e6fab4e,0.1616,1067.95,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
e6e1cc47-780e-40cc-9f3e-01ac239e0a87,0.1456,407.1,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
a0ba62a7-9a03-47c1-9575-7c26b2da5f1b,0.1456,987.17,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
139def3a-22bd-4465-90fa-d37d49f13070,0.1616,2795.1,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
97bd8902-d29a-4041-b7ec-d8f1456bef42,0.1616,2768.14,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
be65ac20-9102-4206-adba-b53380910ecf,0.1696,44.95,0.0,0.25,0.72,0.0,0.0,,geo:location mismatch vs recent geo | comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly
c1ec5542-1bc7-49ba-a89c-4194f01d12c2,0.1456,914.5,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
6d85d330-aebe-4fd7-b6ee-e8b09640ab8e,0.1616,1050.76,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
eee4f7cb-10ba-4f01-8a43-37cc11c74371,0.1616,1073.33,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
1a02f1a5-2a7a-489f-8e43-cf6f4f8fe116,0.1456,355.28,0.0,0.0,0.72,0.1,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:transfer risk multiplier
02c1c8e3-b088-4958-a047-0d32beb78292,0.1616,2849.81,0.0,0.0,0.72,0.2,0.0,,comm:urgent | comm:verify | comm:account lock | comm:suspicious login | comm:password | comm:bit.ly | economic:moderate value | economic:transfer risk multiplier
